pass_1,pass_2,numOfFlights,From,To
5584,7605,6,2017-04-30,2017-05-30
3503,5584,6,2017-04-30,2017-05-30
706,739,6,2017-01-02,2017-01-17
733,762,6,2017-01-02,2017-01-17
701,764,6,2017-01-02,2017-01-17
802,847,6,2017-01-02,2017-02-23
313,721,6,2017-01-04,2017-02-27
1986,1992,6,2017-01-08,2017-02-26
1903,1951,6,2017-01-08,2017-02-27
3547,3578,6,2017-01-15,2017-02-23
274,1693,6,2017-01-21,2017-03-20
4248,4297,6,2017-01-22,2017-04-10
1673,2554,6,2017-01-24,2017-02-17
4421,4497,6,2017-01-29,2017-05-06
184,959,6,2017-02-15,2017-05-03
5419,5479,6,2017-02-17,2017-03-14
6322,6339,6,2017-03-09,2017-05-27
3120,5954,6,2017-03-10,2017-05-03
1884,2717,6,2017-03-10,2017-05-03
4607,6071,6,2017-03-10,2017-05-03
5443,6016,6,2017-03-10,2017-05-03
5440,6049,6,2017-03-10,2017-05-03
3937,6092,6,2017-03-10,2017-04-05
6864,6897,6,2017-03-15,2017-05-09
8037,8073,6,2017-03-28,2017-05-19
8355,8386,6,2017-04-03,2017-05-12
1769,7680,6,2017-04-08,2017-05-10
5481,6870,6,2017-04-13,2017-05-12
4627,8485,6,2017-04-14,2017-05-29
1677,2776,6,2017-04-20,2017-05-19
8936,8979,6,2017-04-21,2017-05-18
625,6813,6,2017-04-22,2017-05-29
1343,6208,6,2017-05-01,2017-05-27
681,684,6,2017-01-02,2017-02-03
706,797,6,2017-01-02,2017-01-17
2134,2173,6,2017-01-09,2017-04-13
2263,2295,6,2017-01-09,2017-02-21
2750,2780,6,2017-01-10,2017-03-31
211,255,6,2017-01-13,2017-02-10
1581,3966,6,2017-01-22,2017-04-13
1298,2554,6,2017-01-24,2017-02-17
1332,1837,6,2017-02-04,2017-03-28
975,2776,6,2017-02-04,2017-05-06
1398,3509,6,2017-02-13,2017-04-16
2458,2660,6,2017-02-15,2017-05-12
5436,5471,6,2017-02-17,2017-03-14
1643,5422,6,2017-02-26,2017-04-13
4554,5422,6,2017-02-26,2017-04-13
3544,6075,6,2017-03-10,2017-05-03
6855,6872,6,2017-03-15,2017-05-09
6825,6864,6,2017-03-15,2017-05-09
1013,1023,6,2017-01-02,2017-01-17
701,766,6,2017-01-02,2017-01-17
716,3477,6,2017-01-17,2017-04-12
391,4593,6,2017-01-30,2017-03-20
4053,4353,6,2017-01-31,2017-03-03
4010,4321,6,2017-01-31,2017-04-08
437,1444,6,2017-02-02,2017-03-13
4734,4739,6,2017-02-06,2017-05-02
5481,6096,6,2017-03-10,2017-05-03
2906,6813,6,2017-04-22,2017-05-29
3180,5740,6,2017-04-26,2017-05-27
5989,8411,6,2017-05-01,2017-05-30
568,574,6,2017-01-02,2017-05-03
751,761,6,2017-01-02,2017-01-17
752,768,6,2017-01-02,2017-01-17
382,1002,6,2017-01-03,2017-02-23
362,392,6,2017-01-03,2017-02-26
374,716,6,2017-01-04,2017-01-29
2255,2279,6,2017-01-09,2017-02-21
2225,2226,6,2017-01-09,2017-03-28
2446,2457,6,2017-01-09,2017-03-11
3115,3147,6,2017-01-11,2017-05-08
255,610,6,2017-01-13,2017-02-03
271,3184,6,2017-01-13,2017-02-14
286,3114,6,2017-01-20,2017-05-20
266,1598,6,2017-01-26,2017-02-28
2780,2869,6,2017-02-02,2017-03-31
1536,2636,6,2017-02-10,2017-05-15
5708,5793,6,2017-02-24,2017-03-31
4542,5434,6,2017-02-26,2017-04-13
3920,4988,6,2017-02-28,2017-03-20
1572,4646,6,2017-02-28,2017-04-05
6010,6020,6,2017-03-05,2017-05-12
4990,6075,6,2017-03-10,2017-05-03
4903,6092,6,2017-03-10,2017-04-05
6869,6897,6,2017-03-15,2017-05-09
8904,8945,6,2017-04-21,2017-05-18
704,760,6,2017-01-02,2017-01-17
731,795,6,2017-01-02,2017-02-17
755,791,6,2017-01-02,2017-01-17
905,945,6,2017-01-02,2017-02-25
1019,1048,6,2017-01-02,2017-03-21
1341,1389,6,2017-01-03,2017-05-12
1561,1569,6,2017-01-07,2017-02-28
1406,1468,6,2017-01-04,2017-05-20
333,1581,6,2017-01-13,2017-03-20
3634,3689,6,2017-01-15,2017-04-09
366,3476,6,2017-01-17,2017-03-24
4002,4063,6,2017-01-20,2017-03-15
1602,2801,6,2017-01-22,2017-04-11
4239,4249,6,2017-01-22,2017-05-06
2697,3123,6,2017-01-26,2017-05-04
4044,4373,6,2017-01-31,2017-03-03
2965,3679,6,2017-02-13,2017-04-13
5446,5477,6,2017-02-17,2017-03-15
5412,5438,6,2017-02-17,2017-03-14
5708,5727,6,2017-02-24,2017-03-31
752,3947,6,2017-03-03,2017-04-11
5500,6049,6,2017-03-10,2017-05-03
7778,7790,6,2017-03-23,2017-04-17
1208,5509,6,2017-04-30,2017-05-30
730,759,6,2017-01-02,2017-01-17
768,771,6,2017-01-02,2017-01-17
1023,1031,6,2017-01-02,2017-01-17
734,1095,6,2017-01-04,2017-05-24
2183,2186,6,2017-01-09,2017-01-31
2229,2248,6,2017-01-09,2017-02-26
1074,1696,6,2017-01-10,2017-02-10
5025,5053,6,2017-02-12,2017-04-05
5435,5438,6,2017-02-17,2017-03-14
5401,5404,6,2017-02-17,2017-03-14
5478,5500,6,2017-02-17,2017-03-13
5438,5479,6,2017-02-17,2017-03-14
2959,5484,6,2017-02-22,2017-04-02
5952,5978,6,2017-03-05,2017-04-13
4412,6069,6,2017-03-10,2017-05-03
5500,6064,6,2017-03-10,2017-05-03
5500,6071,6,2017-03-10,2017-05-03
1817,5724,6,2017-03-20,2017-05-03
167,5743,6,2017-03-20,2017-05-20
477,2294,6,2017-04-13,2017-05-12
5491,6809,6,2017-04-13,2017-05-12
6813,8353,6,2017-04-17,2017-05-19
3093,7866,6,2017-04-17,2017-05-19
945,962,6,2017-01-02,2017-02-25
1025,1043,6,2017-01-02,2017-02-17
1322,1369,6,2017-01-03,2017-02-26
1075,1221,6,2017-01-05,2017-05-12
2425,2460,6,2017-01-09,2017-04-01
3109,3178,6,2017-01-11,2017-02-17
610,3104,6,2017-01-13,2017-02-03
3529,3553,6,2017-01-15,2017-02-28
1808,2773,6,2017-01-20,2017-03-13
2501,2869,6,2017-02-02,2017-04-13
5312,5361,6,2017-02-13,2017-04-29
5426,5456,6,2017-02-17,2017-05-12
2941,5432,6,2017-02-22,2017-04-12
5773,5797,6,2017-02-24,2017-03-31
443,4646,6,2017-02-28,2017-04-05
1651,4914,6,2017-02-28,2017-04-05
4990,6071,6,2017-03-10,2017-05-03
2759,4942,6,2017-03-10,2017-05-03
6853,6889,6,2017-03-15,2017-05-09
6825,6897,6,2017-03-15,2017-05-09
7636,7661,6,2017-03-19,2017-05-20
677,4832,6,2017-04-08,2017-05-20
1646,5482,6,2017-04-20,2017-05-19
95,5789,6,2017-04-22,2017-05-29
2906,3590,6,2017-04-22,2017-05-29
3330,3590,6,2017-04-22,2017-05-29
595,822,6,2017-04-26,2017-05-29
1007,1051,6,2017-01-02,2017-05-01
395,1013,6,2017-01-03,2017-02-19
328,761,6,2017-01-04,2017-02-28
1223,1269,6,2017-01-03,2017-02-03
226,402,6,2017-01-21,2017-03-25
4053,4309,6,2017-01-31,2017-03-03
4641,4647,6,2017-02-02,2017-03-20
1371,1464,6,2017-02-04,2017-03-03
1482,4013,6,2017-02-07,2017-03-10
1371,5464,6,2017-02-22,2017-04-15
1865,6075,6,2017-03-10,2017-05-03
4990,6047,6,2017-03-10,2017-05-03
2759,6069,6,2017-03-10,2017-05-03
4412,5440,6,2017-03-10,2017-05-03
4674,6049,6,2017-03-10,2017-05-03
1767,2446,6,2017-03-11,2017-05-24
3963,5467,6,2017-03-13,2017-04-30
1994,5310,6,2017-03-27,2017-05-29
95,7082,6,2017-04-22,2017-05-29
5989,8093,6,2017-05-01,2017-05-30
746,768,6,2017-01-02,2017-01-17
1023,1025,6,2017-01-02,2017-04-10
2233,2246,6,2017-01-09,2017-02-17
2521,2560,6,2017-01-10,2017-02-28
255,274,6,2017-01-13,2017-02-03
1167,2712,6,2017-01-20,2017-05-22
1828,2792,6,2017-01-20,2017-03-14
4241,4288,6,2017-01-22,2017-04-09
4066,4373,6,2017-01-31,2017-03-03
4053,4373,6,2017-01-31,2017-03-03
1337,1666,6,2017-02-04,2017-03-03
2758,4002,6,2017-02-07,2017-04-16
5416,5486,6,2017-02-17,2017-03-13
2941,5414,6,2017-02-22,2017-04-12
5905,5944,6,2017-03-05,2017-04-14
3576,5494,6,2017-03-10,2017-05-03
477,5706,6,2017-03-24,2017-05-09
1244,8037,6,2017-04-12,2017-05-29
2857,7685,6,2017-04-20,2017-05-19
5564,8146,6,2017-04-24,2017-05-20
752,791,6,2017-01-02,2017-01-17
1369,1370,6,2017-01-03,2017-02-26
703,799,6,2017-01-02,2017-05-24
705,726,6,2017-01-02,2017-05-24
2226,2271,6,2017-01-09,2017-03-28
2410,2430,6,2017-01-09,2017-03-28
3041,3087,6,2017-01-10,2017-03-10
3402,3413,6,2017-01-13,2017-04-10
3540,3554,6,2017-01-15,2017-02-26
4208,4245,6,2017-01-22,2017-04-10
4534,4536,6,2017-01-29,2017-04-29
915,2511,6,2017-02-04,2017-03-03
4947,4993,6,2017-02-09,2017-04-05
5481,5484,6,2017-02-17,2017-03-13
5466,5499,6,2017-02-17,2017-03-14
6003,6054,6,2017-03-05,2017-04-30
8402,8461,6,2017-04-05,2017-05-19
477,6064,6,2017-04-13,2017-05-12
6294,8485,6,2017-04-14,2017-05-29
3278,5789,6,2017-04-17,2017-05-19
5989,6447,6,2017-05-01,2017-05-30
704,733,6,2017-01-02,2017-01-17
1236,1271,6,2017-01-03,2017-02-23
1381,1396,6,2017-01-03,2017-03-30
1905,1923,6,2017-01-08,2017-02-23
2223,2255,6,2017-01-09,2017-02-21
606,3123,6,2017-01-13,2017-02-03
3446,3447,6,2017-01-13,2017-02-23
760,3405,6,2017-01-17,2017-05-30
130,3635,6,2017-01-29,2017-04-08
4080,4353,6,2017-01-31,2017-03-03
5478,5481,6,2017-02-17,2017-03-13
5518,5560,6,2017-02-19,2017-05-25
4053,5478,6,2017-02-22,2017-04-15
4011,5479,6,2017-02-22,2017-04-05
979,1033,6,2017-02-23,2017-05-11
5718,5741,6,2017-02-24,2017-03-31
6572,6585,6,2017-03-13,2017-04-29
997,5993,6,2017-03-23,2017-05-03
3177,5590,6,2017-04-14,2017-05-29
731,786,6,2017-01-02,2017-02-17
730,762,6,2017-01-02,2017-01-17
1458,1479,6,2017-01-04,2017-03-10
778,1043,6,2017-01-04,2017-02-27
1954,1992,6,2017-01-08,2017-02-26
2207,2282,6,2017-01-09,2017-05-01
3162,3169,6,2017-01-11,2017-02-03
3116,3145,6,2017-01-11,2017-01-30
232,605,6,2017-01-13,2017-04-21
215,293,6,2017-01-13,2017-02-03
244,289,6,2017-01-20,2017-04-14
2212,3537,6,2017-01-28,2017-03-19
4017,4388,6,2017-01-31,2017-03-03
1696,2959,6,2017-02-04,2017-03-03
5481,5490,6,2017-02-17,2017-03-13
5484,5494,6,2017-02-17,2017-03-13
5429,5436,6,2017-02-17,2017-03-14
5426,5466,6,2017-02-17,2017-03-14
5432,5439,6,2017-02-17,2017-03-14
419,2068,6,2017-03-03,2017-05-17
6020,6087,6,2017-03-05,2017-05-12
4412,6001,6,2017-03-10,2017-05-03
5443,6075,6,2017-03-10,2017-05-03
6930,6951,6,2017-03-16,2017-05-22
1940,4249,6,2017-03-27,2017-05-29
5978,7463,6,2017-04-13,2017-04-29
5423,7820,6,2017-04-17,2017-05-19
1646,8158,6,2017-04-20,2017-05-19
1646,4468,6,2017-04-20,2017-05-19
4249,7866,6,2017-04-30,2017-05-30
703,737,6,2017-01-02,2017-05-24
724,766,6,2017-01-02,2017-01-17
768,797,6,2017-01-02,2017-01-17
701,704,6,2017-01-02,2017-01-17
823,874,6,2017-01-02,2017-02-23
809,826,6,2017-01-02,2017-05-20
1903,1984,6,2017-01-08,2017-02-27
3520,3570,6,2017-01-15,2017-04-16
3509,3537,6,2017-01-15,2017-02-26
440,2554,6,2017-01-24,2017-02-17
4091,4319,6,2017-01-29,2017-03-17
1082,2743,6,2017-02-02,2017-03-19
1314,4052,6,2017-02-07,2017-03-10
2783,4373,6,2017-02-07,2017-03-10
930,4373,6,2017-02-07,2017-03-10
4862,4897,6,2017-02-08,2017-05-13
5456,5494,6,2017-02-17,2017-03-13
5605,5647,6,2017-02-22,2017-03-31
4388,5456,6,2017-02-22,2017-04-02
1167,4109,6,2017-02-23,2017-04-30
3930,4431,6,2017-02-28,2017-04-30
3937,4609,6,2017-02-28,2017-03-20
3120,5720,6,2017-03-10,2017-05-03
5494,6071,6,2017-03-10,2017-05-03
1884,6064,6,2017-03-10,2017-05-03
4607,6049,6,2017-03-10,2017-05-03
7253,7291,6,2017-03-17,2017-05-17
2247,4200,6,2017-03-21,2017-05-12
5819,6294,6,2017-04-12,2017-05-19
2645,7463,6,2017-04-13,2017-04-29
3102,6956,6,2017-04-13,2017-05-15
625,7082,6,2017-04-22,2017-05-29
2719,9586,6,2017-05-11,2017-05-27
680,695,6,2017-01-02,2017-04-22
732,748,6,2017-01-02,2017-03-21
750,774,6,2017-01-02,2017-02-17
740,764,6,2017-01-02,2017-01-17
2405,2437,6,2017-01-09,2017-02-21
606,3104,6,2017-01-13,2017-02-03
4009,4309,6,2017-01-31,2017-03-03
5775,5800,6,2017-02-24,2017-03-31
5779,5789,6,2017-02-24,2017-04-17
1865,5491,6,2017-03-10,2017-05-03
6847,6896,6,2017-03-15,2017-05-24
2101,2988,6,2017-03-19,2017-04-29
5761,5977,6,2017-03-20,2017-05-03
2620,3688,6,2017-03-20,2017-04-29
2734,5993,6,2017-03-23,2017-05-03
3120,5788,6,2017-03-24,2017-05-09
1569,5490,6,2017-04-02,2017-05-29
4278,5303,6,2017-04-11,2017-05-26
1244,8068,6,2017-04-12,2017-05-29
5411,7685,6,2017-04-20,2017-05-19
3735,5411,6,2017-04-20,2017-05-19
706,760,6,2017-01-02,2017-01-17
758,778,6,2017-01-02,2017-02-17
773,774,6,2017-01-02,2017-02-17
382,392,6,2017-01-03,2017-05-24
2109,2145,6,2017-01-09,2017-02-22
205,248,6,2017-01-13,2017-02-03
3537,3554,6,2017-01-15,2017-02-26
5468,5498,6,2017-02-17,2017-03-13
5412,5432,6,2017-02-17,2017-03-14
5549,5590,6,2017-02-19,2017-05-12
2959,5416,6,2017-02-22,2017-04-02
4012,5448,6,2017-02-22,2017-04-12
1444,5434,6,2017-02-26,2017-04-13
7508,7551,6,2017-03-17,2017-05-13
83,1734,6,2017-03-19,2017-05-12
1774,7550,6,2017-03-19,2017-04-29
7872,8289,6,2017-04-17,2017-05-19
8956,8969,6,2017-04-21,2017-05-18
249,6486,6,2017-04-22,2017-05-20
2939,8068,6,2017-05-01,2017-05-30
712,721,6,2017-01-02,2017-02-17
378,381,6,2017-01-03,2017-02-19
771,1053,6,2017-01-04,2017-01-29
1828,1884,6,2017-01-08,2017-05-27
2754,2769,6,2017-01-10,2017-02-25
1503,2667,6,2017-01-13,2017-02-11
3523,3525,6,2017-01-15,2017-04-10
2105,3174,6,2017-01-20,2017-03-24
2222,3571,6,2017-01-28,2017-04-09
930,1464,6,2017-02-04,2017-03-03
5421,5458,6,2017-02-17,2017-03-14
5401,5479,6,2017-02-17,2017-03-14
774,1976,6,2017-02-22,2017-05-04
1766,2988,6,2017-02-23,2017-04-29
5741,5773,6,2017-02-24,2017-03-31
5927,5978,6,2017-03-05,2017-03-31
4674,6016,6,2017-03-10,2017-05-03
1651,4646,6,2017-03-13,2017-04-14
601,606,6,2017-01-02,2017-02-03
730,771,6,2017-01-02,2017-01-17
1367,1369,6,2017-01-03,2017-02-26
374,740,6,2017-01-04,2017-01-29
3142,3197,6,2017-01-11,2017-03-28
275,650,6,2017-01-13,2017-02-03
1269,1576,6,2017-01-13,2017-02-11
3539,3568,6,2017-01-15,2017-04-10
2221,3578,6,2017-01-28,2017-04-09
5145,5156,6,2017-02-12,2017-03-17
2273,2441,6,2017-02-13,2017-04-16
735,4177,6,2017-02-15,2017-04-17
4025,5478,6,2017-02-22,2017-04-15
5708,5773,6,2017-02-24,2017-03-31
5738,5792,6,2017-02-24,2017-04-13
2776,4468,6,2017-04-20,2017-05-19
3735,5482,6,2017-04-20,2017-05-19
8936,8983,6,2017-04-21,2017-05-18
740,761,6,2017-01-02,2017-01-17
802,874,6,2017-01-02,2017-02-23
1367,1391,6,2017-01-03,2017-02-26
3963,3998,6,2017-01-19,2017-03-20
945,2911,6,2017-01-25,2017-03-19
4011,4399,6,2017-01-31,2017-03-03
5456,5500,6,2017-02-17,2017-03-13
5414,5419,6,2017-02-17,2017-03-14
6878,6896,6,2017-03-15,2017-05-24
2988,7550,6,2017-03-19,2017-04-29
756,1335,6,2017-03-27,2017-05-14
5491,6897,6,2017-04-13,2017-05-12
2857,5482,6,2017-04-20,2017-05-19
7082,7662,6,2017-04-22,2017-05-29
2886,6447,6,2017-05-01,2017-05-30
1007,1072,6,2017-01-02,2017-05-01
1922,1967,6,2017-01-08,2017-05-15
721,786,6,2017-01-02,2017-02-17
308,731,6,2017-01-04,2017-02-27
1918,1976,6,2017-01-08,2017-02-27
2072,2328,6,2017-01-10,2017-04-10
3162,3180,6,2017-01-11,2017-02-03
3635,3639,6,2017-01-15,2017-02-23
1250,3087,6,2017-01-22,2017-04-02
64,3093,6,2017-01-22,2017-04-15
945,2912,6,2017-01-25,2017-03-19
2212,3540,6,2017-01-28,2017-03-19
2759,2941,6,2017-02-04,2017-03-03
1984,4091,6,2017-02-06,2017-03-26
5448,5458,6,2017-02-17,2017-03-14
5429,5435,6,2017-02-17,2017-03-14
5419,5439,6,2017-02-17,2017-03-14
1371,5478,6,2017-02-22,2017-04-15
1337,5423,6,2017-02-22,2017-04-15
1033,1351,6,2017-02-23,2017-05-11
2544,4542,6,2017-02-26,2017-04-13
5912,5976,6,2017-03-05,2017-03-31
2773,6001,6,2017-03-10,2017-05-03
2717,6016,6,2017-03-10,2017-05-03
7141,7149,6,2017-03-17,2017-04-29
5668,6294,6,2017-04-12,2017-05-19
441,2776,6,2017-04-20,2017-05-19
8920,8995,6,2017-04-21,2017-05-18
8904,8936,6,2017-04-21,2017-05-18
901,5789,6,2017-04-22,2017-05-29
5584,5789,6,2017-04-30,2017-05-30
610,688,6,2017-01-02,2017-03-17
382,1073,6,2017-01-03,2017-02-23
1005,1209,6,2017-01-04,2017-05-27
275,610,6,2017-01-13,2017-02-03
4329,4379,6,2017-01-24,2017-04-18
4346,4387,6,2017-01-24,2017-03-13
2222,3578,6,2017-01-28,2017-04-09
172,3651,6,2017-01-29,2017-04-17
4011,4316,6,2017-01-31,2017-03-03
446,4690,6,2017-02-04,2017-03-13
2773,6047,6,2017-03-10,2017-05-03
3920,6027,6,2017-03-10,2017-04-22
6869,6874,6,2017-03-15,2017-05-09
2501,5946,6,2017-03-18,2017-05-16
1430,5808,6,2017-03-27,2017-05-14
6020,6876,6,2017-04-02,2017-05-29
901,7685,6,2017-04-20,2017-05-19
5584,6813,6,2017-04-30,2017-05-30
764,791,6,2017-01-02,2017-01-17
334,355,6,2017-01-03,2017-02-26
2521,2563,6,2017-01-10,2017-02-28
215,299,6,2017-01-13,2017-02-03
4080,4309,6,2017-01-31,2017-03-03
4009,4353,6,2017-01-31,2017-03-03
930,2511,6,2017-02-04,2017-03-03
5421,5435,6,2017-02-17,2017-03-14
5412,5439,6,2017-02-17,2017-03-14
5705,5719,6,2017-02-24,2017-04-13
1865,6064,6,2017-03-10,2017-05-03
1884,6016,6,2017-03-10,2017-05-03
7603,7671,6,2017-03-19,2017-04-24
2939,5911,6,2017-04-02,2017-05-29
732,4983,6,2017-04-08,2017-05-19
441,8190,6,2017-04-20,2017-05-19
8904,8965,6,2017-04-21,2017-05-18
95,3590,6,2017-04-22,2017-05-29
901,1208,6,2017-04-22,2017-05-29
8093,8411,6,2017-05-01,2017-05-30
628,673,6,2017-01-02,2017-02-23
709,761,6,2017-01-02,2017-01-17
755,764,6,2017-01-02,2017-01-17
2469,2478,6,2017-01-09,2017-04-01
232,677,6,2017-01-13,2017-04-21
3525,3539,6,2017-01-15,2017-04-10
1095,3461,6,2017-01-17,2017-05-01
3865,3867,6,2017-01-19,2017-03-26
915,1464,6,2017-02-04,2017-03-03
1082,2911,6,2017-02-04,2017-03-26
2802,2911,6,2017-02-04,2017-05-12
3208,4082,6,2017-02-06,2017-03-20
5048,5066,6,2017-02-12,2017-04-10
5423,5481,6,2017-02-17,2017-03-13
2544,4346,6,2017-02-26,2017-04-13
2717,6096,6,2017-03-10,2017-05-03
1012,3642,6,2017-03-20,2017-04-20
2262,4200,6,2017-03-21,2017-05-23
6932,7437,6,2017-04-15,2017-05-29
4468,5411,6,2017-04-20,2017-05-19
441,7602,6,2017-04-20,2017-05-19
737,799,6,2017-01-02,2017-05-24
759,1023,6,2017-01-04,2017-01-29
2410,2492,6,2017-01-09,2017-03-28
2719,2797,6,2017-01-10,2017-05-20
2862,2870,6,2017-01-10,2017-04-08
3523,3568,6,2017-01-15,2017-04-10
2273,3509,6,2017-01-28,2017-04-01
4016,4388,6,2017-01-31,2017-03-03
1343,2295,6,2017-02-13,2017-04-13
5426,5479,6,2017-02-17,2017-03-14
5500,6077,6,2017-03-10,2017-05-03
6874,6897,6,2017-03-15,2017-05-09
6889,6898,6,2017-03-15,2017-05-09
6817,6832,6,2017-03-15,2017-05-09
7342,7381,6,2017-03-17,2017-04-17
8007,8093,6,2017-03-28,2017-05-19
2645,7476,6,2017-04-13,2017-04-29
2857,3735,6,2017-04-20,2017-05-19
2857,7605,6,2017-04-20,2017-05-19
7082,8190,6,2017-04-22,2017-05-29
6020,8037,6,2017-05-01,2017-05-30
6020,8411,6,2017-05-01,2017-05-30
2886,4627,6,2017-05-01,2017-05-30
739,792,6,2017-01-02,2017-01-17
355,362,6,2017-01-03,2017-02-26
719,1043,6,2017-01-04,2017-02-27
2222,2273,6,2017-01-09,2017-02-21
650,3104,6,2017-01-13,2017-02-03
3505,3575,6,2017-01-15,2017-04-09
4203,4215,6,2017-01-22,2017-04-30
3801,4534,6,2017-02-02,2017-03-31
4628,4696,6,2017-02-02,2017-03-10
1208,2776,6,2017-02-02,2017-05-19
5416,5494,6,2017-02-17,2017-03-13
2511,5478,6,2017-02-22,2017-04-15
5491,6049,6,2017-03-10,2017-05-03
4316,6016,6,2017-03-10,2017-05-03
5440,6077,6,2017-03-10,2017-05-03
3920,6004,6,2017-03-10,2017-04-22
7001,7033,6,2017-03-17,2017-05-24
1817,5798,6,2017-03-20,2017-05-03
2516,6160,6,2017-03-20,2017-05-23
7879,7898,6,2017-03-24,2017-05-24
8209,8216,6,2017-03-31,2017-05-06
1635,7685,6,2017-04-20,2017-05-19
2150,5942,6,2017-04-26,2017-05-29
709,752,6,2017-01-02,2017-01-17
328,764,6,2017-01-04,2017-02-28
1914,1975,6,2017-01-08,2017-02-23
2212,2222,6,2017-01-09,2017-02-21
248,3123,6,2017-01-13,2017-02-03
215,606,6,2017-01-13,2017-02-03
1014,1598,6,2017-01-13,2017-02-11
1853,2781,6,2017-01-20,2017-03-14
1498,1828,6,2017-01-20,2017-03-14
3193,3436,6,2017-01-23,2017-04-21
2068,2909,6,2017-02-13,2017-03-25
5414,5435,6,2017-02-17,2017-03-14
928,5486,6,2017-02-22,2017-04-15
5743,5789,6,2017-02-24,2017-04-17
5494,6016,6,2017-03-10,2017-05-03
2294,2717,6,2017-03-10,2017-05-03
6825,6872,6,2017-03-15,2017-05-09
2620,4534,6,2017-03-20,2017-04-29
2906,7685,6,2017-04-20,2017-05-19
761,772,6,2017-01-02,2017-01-17
2165,2182,6,2017-01-09,2017-03-27
264,3184,6,2017-01-13,2017-02-14
3447,3451,6,2017-01-13,2017-02-23
3525,3585,6,2017-01-15,2017-04-10
3517,3535,6,2017-01-15,2017-04-10
3620,3671,6,2017-01-15,2017-04-07
4038,4073,6,2017-01-20,2017-02-27
4359,4361,6,2017-01-24,2017-02-25
2221,3571,6,2017-01-28,2017-04-09
4523,4554,6,2017-01-29,2017-04-13
4053,4364,6,2017-01-31,2017-03-03
5468,5486,6,2017-02-17,2017-03-13
5431,5448,6,2017-02-17,2017-03-14
2511,5498,6,2017-02-22,2017-04-15
4316,4942,6,2017-03-10,2017-05-03
6773,8485,6,2017-04-14,2017-05-29
6773,8402,6,2017-04-14,2017-05-29
8209,8353,6,2017-04-17,2017-05-19
4862,7508,6,2017-04-26,2017-05-27
3418,5509,6,2017-04-30,2017-05-30
4142,7001,6,2017-05-07,2017-05-29
704,716,6,2017-01-02,2017-01-17
364,381,6,2017-01-03,2017-04-20
1437,1453,6,2017-01-04,2017-04-21
1947,1971,6,2017-01-08,2017-02-27
1082,1288,6,2017-01-04,2017-02-25
1911,1954,6,2017-01-08,2017-02-26
2911,2992,6,2017-01-10,2017-02-25
3439,3479,6,2017-01-13,2017-02-23
3746,3772,6,2017-01-19,2017-05-27
2754,2802,6,2017-02-02,2017-03-19
1696,2939,6,2017-02-04,2017-03-03
2783,4059,6,2017-02-07,2017-03-10
5434,5460,6,2017-02-17,2017-03-20
5439,5466,6,2017-02-17,2017-03-14
5439,5495,6,2017-02-17,2017-03-14
5586,5592,6,2017-02-19,2017-05-14
1598,4523,6,2017-02-28,2017-04-13
6832,6872,6,2017-03-15,2017-05-09
3590,8289,6,2017-04-17,2017-05-19
4249,6813,6,2017-04-30,2017-05-30
1042,4171,6,2017-05-01,2017-05-27
601,610,6,2017-01-02,2017-02-03
707,781,6,2017-01-02,2017-05-01
1413,1472,6,2017-01-04,2017-04-01
366,746,6,2017-01-04,2017-01-29
2222,2223,6,2017-01-09,2017-02-21
2457,2465,6,2017-01-09,2017-03-11
211,3162,6,2017-01-13,2017-02-10
1598,2699,6,2017-01-13,2017-02-11
3655,3668,6,2017-01-15,2017-04-10
701,3405,6,2017-01-17,2017-05-30
679,2199,6,2017-01-20,2017-04-13
4066,4395,6,2017-01-31,2017-03-03
4013,4388,6,2017-01-31,2017-03-03
1818,2941,6,2017-02-04,2017-03-03
6825,6898,6,2017-03-15,2017-05-09
1766,7563,6,2017-03-19,2017-04-29
8007,8037,6,2017-03-28,2017-05-19
760,4178,6,2017-04-29,2017-05-30
5584,7872,6,2017-04-30,2017-05-30
364,771,6,2017-01-04,2017-01-29
392,768,6,2017-01-04,2017-04-06
2554,2567,6,2017-01-10,2017-02-11
3015,3087,6,2017-01-10,2017-03-10
3331,3357,6,2017-01-13,2017-05-08
274,610,6,2017-01-13,2017-02-03
1673,2600,6,2017-01-24,2017-02-17
2977,3635,6,2017-02-13,2017-04-12
4551,5356,6,2017-02-14,2017-04-13
5912,5927,6,2017-03-05,2017-03-31
1865,5440,6,2017-03-10,2017-05-03
1865,6096,6,2017-03-10,2017-05-03
3544,5440,6,2017-03-10,2017-05-03
2717,6049,6,2017-03-10,2017-05-03
7735,7795,6,2017-03-23,2017-05-22
5481,6855,6,2017-04-13,2017-05-12
5423,7039,6,2017-04-17,2017-05-19
5789,8289,6,2017-04-17,2017-05-19
1677,5584,6,2017-04-30,2017-05-30
4249,7662,6,2017-04-30,2017-05-30
1430,8213,6,2017-05-05,2017-05-29
1542,1561,6,2017-01-07,2017-02-28
364,759,6,2017-01-04,2017-01-29
1951,1984,6,2017-01-08,2017-02-27
2645,2669,6,2017-01-10,2017-03-31
229,3173,6,2017-01-13,2017-02-24
1269,2674,6,2017-01-13,2017-02-11
4066,4399,6,2017-01-31,2017-03-03
4927,4933,6,2017-02-09,2017-04-13
4916,4919,6,2017-02-09,2017-04-11
5434,5450,6,2017-02-17,2017-03-20
5455,5460,6,2017-02-17,2017-03-20
